,smiles,logP,qed,SAS
203,CCNC(C)Cc1cccc(C(F)(F)F)c1,0,0,0
204,CCCCCCCC/C=C\CCCCCCCCCC(=O)O,0,0,0
205,CCCCC(=O)C(=O)O,0,0,0
206,O=C1Cc2cc(CCN3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2N1,0,0,0
207,CCCOC(=O)c1ccc(O)cc1,0,0,0
208,CN1Cc2c(ccc3c2OCO3)C2C(O)Cc3cc4c(cc3C21)OCO4,0,0,0
209,CCN=C(O)CC[C@H](N)C(=O)O,0,0,0
210,COc1cc(-c2oc3c(OC)c(O)cc(O)c3c(=O)c2O)ccc1O,0,0,0
211,CC1=CC(=O)NS(=O)(=O)O1,0,0,0
212,COC(=O)c1sccc1S(=O)(=O)N=C(O)N=c1nc(C)nc(OC)[nH]1,0,0,0
213,COc1ccc(C2COc3cc(OC)ccc3C2)c(O)c1,0,0,0
214,CC(CCC(O)C(C)(C)O)C1CCC2(C)C3=C(CC(O)C12C)C1(C)CC(OC(=O)CC(C)(O)CC(=O)O)C(O)C(C)(C)C1CC3,0,0,0
215,OCc1c[nH]c2ccccc12,0,0,0
216,CC(C)=CCNc1ncnc2[nH]cnc12,0,0,0
217,C/C=C/C=C/C(=O)O,0,0,0
218,CCCCCCCCCCCCCCCCCCCc1cc(O)cc(O)c1,0,0,0
219,O=C(O)c1cc(O)c2cccc(O)c2n1,0,0,0
220,O=C(O)c1cc(S(=O)(=O)O)ccc1O,0,0,0
221,C/C(=C/CNc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)CO,0,0,0
222,C[C@@H]1O[C@@H](O[C@H]2C(=O)c3c(O)cc(O)cc3O[C@@H]2c2ccc(O)c(O)c2)[C@H](O)[C@H](O)[C@H]1O,0,0,0
223,CN,0,0,0
224,O=C(/C=C/CCc1ccc2c(c1)OCO2)N1CCCCC1,0,0,0
225,COc1ccc(C(O)(c2cncnc2)C2CC2)cc1,0,0,0
226,CC[C@H](C(N)=O)N1CCCC1=O,0,0,0
227,CNC1=Nc2ccc(Cl)cc2C(c2ccccc2)=[N+]([O-])C1,0,0,0
228,O=C(O)c1cc(=O)c2c(OCC(O)COc3cccc4oc(C(=O)O)cc(=O)c34)cccc2o1,0,0,0
229,O=C(NO)c1ccccc1,0,0,0
230,O=C(O)CCCc1c[nH]c2ccccc12,0,0,0
231,CCCCCCCCCCCCCCCc1cccc(O)c1C(=O)O,0,0,0
232,CCC1=CC2CN3CCc4c([nH]c5ccccc45)C(C(=O)OC)(C2)C13,0,0,0
233,CC(C)=CCc1c(O)ccc2c1OCC(c1ccc(O)cc1O)C2=O,0,0,0
234,CC(C)Nc1nc(N)nc(Cl)n1,0,0,0
235,CCC[C@@H]1C[C@@H](C(=O)NC(C(C)Cl)[C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)N(C)C1,0,0,0
236,COc1cc(/C=C/C(=O)O)cc(OC)c1OC,0,0,0
237,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,0,0,0
238,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,0,0,0
239,N=C(O)CN1CCCC1=O,0,0,0
240,O=C(O)/C=C/c1ccc(O)cc1,0,0,0
241,Nc1cc2nc3ccccc3oc-2cc1=O,0,0,0
242,NC(COP(=O)(O)O)C(=O)O,0,0,0
243,N[C@@H](COP(=O)(O)O)C(=O)O,0,0,0
244,COc1c(OC)c(O)c2c3c(cc4ccccc42)NC(=O)c13,0,0,0
245,COc1ccc(-c2cc(=O)c3c(O)cc(OC4OC(C(=O)O)C(O)C(O)C4O)cc3o2)cc1O,0,0,0
246,c1ccc2c3c([nH]c2c1)CNCC3,0,0,0
247,CCc1nn(CCCN2CCN(c3cccc(Cl)c3)CC2)c(=O)n1CCOc1ccccc1,0,0,0
248,CC(C)=CCN1CC[C@@]2(C)c3cc(O)ccc3C[C@@H]1[C@@H]2C,0,0,0
249,O=P(Oc1ccccc1)(Oc1ccccc1)Oc1ccccc1,0,0,0
250,COc1cc2nccc(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3)c2cc1OC,0,0,0
251,Nc1nc(N)c2nc(CNc3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)cnc2n1,0,0,0
252,COc1ccc(-c2cc(=O)c3c(O)c(OC)c(O)cc3o2)cc1OC,0,0,0
253,CCCNCC(O)COc1ccccc1C(=O)CCc1ccccc1,0,0,0
254,CC(=O)N[C@@H](Cc1c[nH]cn1)C(=O)O,0,0,0
255,CC(C)C(=O)O,0,0,0
256,CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)(O)OC[C@H](N)C(=O)O)OC(=O)CCCCCCC/C=C\CCCCCCCC,0,0,0
257,O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)c(C3OC(CO)C(O)C(O)C3OC3OC(CO)C(O)C(O)C3O)c(O)c12,0,0,0
258,COc1ccc(-c2oc3cc(O)cc(O)c3c(=O)c2O)cc1,0,0,0
259,CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)NCCO,0,0,0
260,NCCCC(O)(P(=O)(O)O)P(=O)(O)O,0,0,0
261,Cc1nccc2c1[nH]c1cc(O)ccc12,0,0,0
262,O=C(O)CNC(=O)c1ccc(O)cc1,0,0,0
263,CCOC(=O)C1(c2ccccc2)CCN(CCc2ccc(N)cc2)CC1,0,0,0
264,Cc1c2oc3c(C)ccc(C(=O)N[C@@H]4C(=O)N[C@H](C(C)C)C(=O)N5CCC[C@H]5C(=O)N(C)CC(=O)N(C)[C@@H](C(C)C)C(=O)O[C@@H]4C)c3nc-2c(C(=O)N[C@@H]2C(=O)N[C@H](C(C)C)C(=O)N3CCC[C@H]3C(=O)N(C)CC(=O)N(C)[C@@H](C(C)C)C(=O)O[C@@H]2C)c(N)c1=O,0,0,0
265,O=C(O)CCCCCCC(=O)O,0,0,0
266,N#CC(C#N)=NNc1cccc(Cl)c1,0,0,0
267,NCCCCCC(=O)O,0,0,0
268,C[C@H]1[C@H](C)CC[C@]2(CO)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@H]12,0,0,0
269,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C=C(\C)CC/C=C(\C)CCC=C(C)C,0,0,0
270,CC12C(=O)OC(=O)C1(C)C1CCC2O1,0,0,0
