,smiles,logP,qed,SAS
179,CC(C)=CCC[C@@H](C)[C@H]1CC[C@@]2(C)C3=C(CC[C@]12C)[C@@]1(C)CC[C@H](O)C(C)(C)[C@@H]1CC3,0,0,0
180,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5,0,0,0
181,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)n1,0,0,0
182,O=P(O)(O)O[C@@H]1[C@H](O)[C@H](O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@H]1O,0,0,0
183,O=C1C[C@@H](c2ccc(O)cc2)Oc2cc(O)ccc21,0,0,0
184,CNNCc1ccc(C(=O)NC(C)C)cc1,0,0,0
185,O=C(O)C(c1ccccc1)C1CCCCN1,0,0,0
186,Cc1cn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)nc1N,0,0,0
187,NCCOP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2ccc(N)nc2=O)[C@H](O)[C@@H]1O,0,0,0
188,N=c1nc(O)c2c([nH]1)NCC(C(O)C(O)CO)=N2,0,0,0
189,CC(C)=CCc1cc(-c2coc3cc(O)ccc3c2=O)ccc1O,0,0,0
190,CCCCCCC(=O)O,0,0,0
191,COc1cc(/C=C/CO)ccc1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,0,0,0
192,Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1,0,0,0
193,CC(C)(C)c1ccc(O)cc1,0,0,0
194,O=C(O)CNC(=O)c1ccco1,0,0,0
195,C[S+](C)CCC(N)C(=O)[O-],0,0,0
196,O=C1O[C@H]([C@@H](O)CO)C(=O)C1=O,0,0,0
197,O=C(O)CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@@H]21,0,0,0
198,CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,0,0,0
199,COc1c2ccoc2c(OCC(O)C(C)(C)O)c2oc(=O)ccc12,0,0,0
200,OC[C@@H](O)[C@H](O)[C@@H](O)CO,0,0,0
201,O=c1cc(-c2cc(O)c(O)c(O)c2)oc2cc(O)cc(O)c12,0,0,0
202,Oc1ccc2[nH]ccc2c1,0,0,0
203,CN(CCCN1c2ccccc2CCc2ccccc21)CC(=O)c1ccc(Cl)cc1,0,0,0
204,CC1=CC(=O)CC(C)(C)C1,0,0,0
205,N=C(O)c1ccccn1,0,0,0
206,CC(=O)N[C@@H](CO)C(=O)O,0,0,0
207,CCC(C)C(N)C(=O)NC(CC(=O)O)C(=O)O,0,0,0
208,O=C(O)CCc1nc(-c2ccccc2)c(-c2ccccc2)o1,0,0,0
209,C[C@](N)(Cc1ccc(O)c(O)c1)C(=O)O,0,0,0
210,C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](Oc3cc4c(O)cc(O)cc4[o+]c3-c3ccc(O)c(O)c3)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,0,0,0
211,OC[C@H]1OC(O)[C@H](O)[C@@H]1O,0,0,0
212,CN1CCN2c3ccccc3Cc3ccccc3C2C1,0,0,0
213,CCCC(Cn1cncn1)c1ccc(Cl)cc1Cl,0,0,0
214,CSc1ccc(C(=O)C(C)(C)N2CCOCC2)cc1,0,0,0
215,N[C@@H]1[C@@H](O)[C@H](O)[C@@H](COS(=O)(=O)O)O[C@H]1O,0,0,0
216,N=C(O)N1c2ccccc2[C@H](O)[C@@H](O)c2ccccc21,0,0,0
217,CCCCCC(=O)/C=C/C=C\C/C=C\C/C=C\CCCC(=O)O,0,0,0
218,O=C1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,0,0,0
219,CC(C)(CC(=O)O)C(=O)O,0,0,0
220,CCCC/N=C(\N)N=C(N)N,0,0,0
221,COc1ccc(Cc2c[nH]c(=N)[nH]c2=N)cc1OC,0,0,0
222,CS(=O)CCCCN=C=S,0,0,0
223,COc1cc(-c2oc3cc(O)cc(O)c3c(=O)c2O)ccc1O,0,0,0
224,O=C(CO)N[C@H]1[C@H]([C@H](O)[C@H](O)CO)O[C@](O)(C(=O)O)C[C@@H]1O,0,0,0
225,O=C(O)[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O,0,0,0
226,C=CCC(=O)NCC(=O)O,0,0,0
227,CC(C)C(O)C(=O)O,0,0,0
228,COC(O)=Nc1nc2ccc(C(=O)c3ccc(F)cc3)cc2[nH]1,0,0,0
229,C[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O[C@H]3[C@H](O)[C@@H](O)[C@H](O)O[C@@H]3CO)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@H](O)[C@H](O)[C@H]1O,0,0,0
230,CCCC(=O)C(=O)O,0,0,0
231,O=c1cc(-c2ccccc2)oc2ccc3ccccc3c12,0,0,0
232,CCc1oc(=O)c(Cc2c(O)c(C)c(CC)oc2=O)c(O)c1C,0,0,0
233,Cc1ccc(S(=O)(=O)O)cc1,0,0,0
234,COc1cc(OC)c(OC)cc1C=O,0,0,0
235,CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCCN)OC(=O)CCCCCCCCCCCCCCC,0,0,0
236,COc1ccnc(CS(=O)c2nc3ccc(OC(F)F)cc3[nH]2)c1OC,0,0,0
237,CCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCC)OC(=O)CCCCCCCCC,0,0,0
238,CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCC/C=C\C/C=C\C/C=C\CC,0,0,0
239,CCCc1nc(C)c2c(=O)nc(-c3cc(S(=O)(=O)N4CCN(CC)CC4)ccc3OCC)[nH]n12,0,0,0
240,COP(=S)(OC)SCN1C(=O)c2ccccc2C1=O,0,0,0
241,COc1ccc2c(c1)[C@@]13CCCC[C@H]1[C@@H](C2)N(C)CC3,0,0,0
242,O=C(O)[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O,0,0,0
243,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1,0,0,0
244,CN1C2CCC1C(C(=O)O)C(OC(=O)c1ccccc1)C2,0,0,0
245,O=c1c(-c2ccc(O)cc2)coc2c([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(O)ccc12,0,0,0
246,CCOC(=O)CC(O)(CC(=O)OCC)C(=O)OCC,0,0,0
247,CCOC(=O)C(Cl)Cc1cc(-n2nc(C)n(C(F)F)c2=O)c(F)cc1Cl,0,0,0
248,Nc1cccc(C(=O)O)c1,0,0,0
249,Cc1cn([C@H]2C=C[C@@H](CO)O2)c(=O)[nH]c1=O,0,0,0
250,CCCOP(=O)(OCCC)OCCC,0,0,0
251,C[C@@H](N)C(=O)N[C@H](C)C(=O)O,0,0,0
252,O=C(O)C(=O)Cc1ccccc1,0,0,0
253,OCC(Cc1cccc(O)c1)C(CO)Cc1cccc(O)c1,0,0,0
254,Cn1c(=O)[nH]c2[nH]c(=O)[nH]c(=O)c21,0,0,0
255,c1ccc2c(c1)[nH]c1ccncc12,0,0,0
256,CN1CCN2c3ncccc3Cc3ccccc3C2C1,0,0,0
257,COc1ccc(O)c(C(=O)O)c1,0,0,0
258,O=C(O)c1c[nH]c2ccccc12,0,0,0
259,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@H]2OCC[C@H]21)S(=O)(=O)c1ccc(N)cc1,0,0,0
260,Oc1ccc(Cl)cc1Cl,0,0,0
261,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/CO)C(C)(C)CCC1,0,0,0
262,NS(=O)(=O)c1cc2c(cc1Cl)NC=NS2(=O)=O,0,0,0
263,Nc1ccn([C@H]2C[C@H](O)[C@@H](COP(=O)(O)O)O2)c(=O)n1,0,0,0
264,C=CCc1ccc(OC)c(OC)c1,0,0,0
265,CC(C)(O)C(=O)O,0,0,0
266,CC(=O)OCC(CCn1cnc2cnc(N)nc21)COC(C)=O,0,0,0
267,CCCCc1ncc(/C=C(\Cc2cccs2)C(=O)O)n1Cc1ccc(C(=O)O)cc1,0,0,0
268,CC(C)=CCc1cc(-c2oc3cc(O)cc(O)c3c(=O)c2O)ccc1O,0,0,0
269,CCN(CCO)CCCC(C)Nc1ccnc2cc(Cl)ccc12,0,0,0
270,CC(C)=CCC/C(C)=C/COP(=O)(O)OP(=O)(O)O,0,0,0
271,NC(N)=Nc1nc(CSCCC(N)=NS(N)(=O)=O)cs1,0,0,0
272,O=C(O)C1OC(Oc2c(-c3ccc(O)c(O)c3)oc3cc(O)cc(O)c3c2=O)C(O)C(O)C1O,0,0,0
273,Cc1cccc(C(=O)O)c1,0,0,0
274,C=CCCCCCCCCCCCC(O)CC(CO)OC(C)=O,0,0,0
275,COc1cccc(C2(O)CCCCC2CN(C)C)c1,0,0,0
276,CC(=O)N[C@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@H]1O,0,0,0
277,C=CC1=C(C)/C(=C/C2=N/C(=C\c3[nH]c(/C=C4\NC(=O)C(C)=C4C=C)c(C)c3CCC(=O)O)C(CCC(=O)O)=C2C)NC1=O,0,0,0
278,O=c1c2ccccc2oc2ccccc12,0,0,0
279,CCCc1cc(C(=N)S)ccn1,0,0,0
280,Oc1ccccc1Cc1ccccc1O,0,0,0
281,CC(/C=C/C1(O)C(C)CC(=O)CC1(C)C)OC1OC(CO)C(O)C(O)C1O,0,0,0
282,CCCCCCCCCCCc1cc(=O)c2ccccc2[nH]1,0,0,0
283,O=C(O)/C=C/c1ccccc1,0,0,0
284,CCN(CC)c1nc(C)cc(OP(=S)(OC)OC)n1,0,0,0
285,CC1COC(Cn2cncn2)(c2ccc(Oc3ccc(Cl)cc3)cc2Cl)O1,0,0,0
286,CCOS(=O)(=O)O,0,0,0
